Action,Date,Price,Capital
Buy,2021-01-07,3803.79,10441.768375800712
Buy,2021-01-08,3824.68,10446.735270205583
Buy,2021-01-11,3799.61,10440.748645312517
Buy,2021-01-12,3801.19,10441.123214635354
Buy,2021-01-13,3809.84,10443.19232121192
Buy,2021-01-14,3795.54,10439.747195061866
Buy,2021-01-15,3768.25,10433.235971741278
Buy,2021-01-19,3798.91,10440.50273531049
Buy,2021-01-20,3851.85,10453.07458342795
Buy,2021-01-21,3853.07,10453.363317027837
Buy,2021-01-22,3841.47,10450.593647271457
Buy,2021-01-25,3855.36,10453.876327014212
Buy,2021-01-26,3849.62,10452.511843314294
Buy,2021-01-27,3750.77,10429.285082367747
Buy,2021-01-28,3787.38,10437.979812799229
Buy,2021-01-29,3714.24,10420.602823331208
Buy,2021-02-01,3773.86,10434.835060566029
Buy,2021-02-02,3826.31,10447.289567049875
Buy,2021-02-03,3830.17,10448.20297098295
Buy,2021-02-04,3871.74,10458.119864785394
Buy,2021-02-05,3886.83,10461.716356029177
Buy,2021-02-08,3915.59,10468.607006360091
Buy,2021-02-09,3911.23,10467.560321089162
Buy,2021-02-10,3909.88,10467.239924507663
Buy,2021-02-11,3916.38,10468.763768611356
Buy,2021-02-12,3934.83,10473.120824913747
Buy,2021-02-16,3932.59,10472.589494643189
Buy,2021-02-17,3931.33,10472.294168049773
Buy,2021-02-18,3913.97,10468.27486063448
Buy,2021-02-19,3906.71,10466.608429821314
Buy,2021-02-22,3876.5,10459.75066418646
Buy,2021-02-23,3881.37,10460.849773133401
Buy,2021-02-24,3925.43,10470.87395747977
Buy,2021-02-25,3829.34,10449.039723507
Buy,2021-02-26,3811.15,10444.865273324742
Buy,2021-03-01,3901.82,10465.496433140648
Buy,2021-03-02,3870.29,10458.409992700643
Buy,2021-03-03,3819.72,10447.106081869344
Buy,2021-03-04,3768.47,10435.660922236642
Buy,2021-03-05,3841.94,10452.056433761265
Buy,2021-03-08,3821.35,10447.499421479584
Buy,2021-03-09,3875.44,10459.37308228751
Buy,2021-03-10,3898.81,10464.485555151286
Buy,2021-03-11,3939.34,10473.386010782044
Buy,2021-03-12,3943.34,10474.26419056261
Buy,2021-03-15,3968.94,10479.930731347798
Buy,2021-03-16,3962.71,10478.547484316508
Buy,2021-03-17,3974.12,10481.052684912156
