Date_S&P500,S&P500,Bond_Rate
2020-07-06,3179.72,0.128
2020-07-02,3130.01,0.133
2020-07-01,3115.86,0.13
2020-06-30,3100.29,0.135
2020-06-29,3053.24,0.125
2020-06-26,3009.05,0.133
2020-06-25,3083.76,0.13
2020-06-24,3050.33,0.135
2020-06-23,3131.29,0.14
2020-06-22,3117.86,0.14
2020-06-19,3097.74,0.143
2020-06-18,3115.34,0.14
2020-06-17,3113.49,0.165
2020-06-16,3124.74,0.16
2020-06-15,3066.59,0.155
2020-06-12,3041.31,0.15
2020-06-11,3002.1,0.153
2020-06-10,3190.14,0.165
2020-06-09,3207.18,0.165
2020-06-08,3232.39,0.153
2020-06-05,3193.93,0.145
2020-06-04,3112.35,0.14
2020-06-03,3122.87,0.148
2020-06-02,3080.82,0.145
2020-06-01,3055.73,0.128
2020-05-29,3044.31,0.128
2020-05-28,3029.73,0.138
2020-05-27,3036.13,0.135
2020-05-26,2991.77,0.118
2020-05-22,2955.45,0.11
2020-05-21,2948.51,0.11
2020-05-20,2971.61,0.118
2020-05-19,2922.94,0.118
2020-05-18,2953.91,0.105
2020-05-15,2863.7,0.103
2020-05-14,2852.5,0.105
2020-05-13,2820.0,0.115
2020-05-12,2870.12,0.123
2020-05-11,2930.19,0.105
2020-05-08,2929.8,0.095
2020-05-07,2881.19,0.095
2020-05-06,2848.42,0.108
2020-05-05,2868.44,0.11
2020-05-04,2842.74,0.09
2020-05-01,2830.71,0.093
2020-04-30,2912.43,0.09
2020-04-29,2939.51,0.09
2020-04-28,2863.39,0.085
2020-04-27,2878.48,0.093
2020-04-24,2836.74,0.1
2020-04-23,2797.8,0.093
2020-04-22,2799.31,0.093
2020-04-21,2736.56,0.098
2020-04-20,2823.16,0.07
2020-04-17,2874.56,0.103
2020-04-16,2799.55,0.11
2020-04-15,2783.36,0.115
2020-04-14,2846.06,0.165
2020-04-13,2761.63,0.2
2020-04-09,2789.82,0.21
2020-04-08,2749.98,0.185
2020-04-07,2659.41,0.128
2020-04-06,2663.68,0.06
2020-04-03,2488.65,0.058
2020-04-02,2526.9,0.065
2020-04-01,2470.5,0.063
2020-03-31,2584.59,0.03
2020-03-30,2626.65,0.013
2020-03-27,2541.47,-0.058
2020-03-26,2630.07,-0.105
2020-03-25,2475.56,-0.07
2020-03-24,2447.33,-0.033
2020-03-23,2237.4,-0.04
